,Acac lahi,Acac persi,Acac sene,Acan senn,Acant poly,Acok schi,Albi  mala,Albi gumm,Albi schi,Allo abys,Bers abys,Bride micra,Bruc anti,Budd poly,Calp aure,Capp tome,Cari spin,Celti afri,Clau anis,Comb coll,Cord afri,Crot macr,Dich cine,Dodo angu,Dovy abys,Embe schi,Enta abys,Eryt abys,Eucl  race,Ficu palm,Ficu syco,Ficu thon,Ficu vast,Flue viro,Gard tern,grew ferr,Hype quar,Jasm abys,Maes abys,Mayt obsc,Mayt unda,Mill ferr,Mimu kumm,Myrs afri,Ocim lami,Osyr quad,Phoe recl,Pitt abys,Pitt vird,Prem schi,Pter stel,Rhoi trid,Rhus glut,Rosa abys,Sapi elli,Senn sing,Steg aral,Ster kunt,Syzy guin,Term brow,Turr hols,Vern amyg,Vern myri,Xime amer
1,1.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,3
3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,7,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
4,2,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,2,0,2,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,6,0,0,0,0,0
5,2,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,2,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0
6,2,0,0,0,2,0,1,0,0,0,2,0,0,0,2,0,2,0,0,2,0,3,0,2,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,2,0,1,0,0,0,0,10,0,0,0,0,0,0
7,2,0,0,1,2,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,6,0,2,0,0,0,0,1,0,60,10,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,1,0,0,0,0
9,0,0,8,0,0,0,5,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,5,0,0,6,2,8,0,2,0,0,0,0,0,3,0,0,0,0,10
10,0,0,7,0,4,0,0,0,0,0,1,0,0,0,10,0,6,0,0,0,0,3,0,3,5,2,0,0,3,0,0,0,35,0,0,3,0,3,2,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0
11,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,5,0,0,3,0,0,0,3,8,0,0,0,0,1,0,0,0,0,1
12,3,0,0,2,6,0,0,0,0,0,0,0,0,6,2,0,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0
13,0,0,10,0,0,0,0,0,21,0,2,0,0,0,2,0,12,2,0,0,0,4,0,2,3,0,0,1,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,20,7,5,0,0,0,0,2,0,0,0,0,0,0,0,3
14,0,0,0,0,1,0,0,11,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,2,3,2,0,0,4,2,0,0,0,0,10,0,0,0,2,0
15,0,0,0,0,0,0,0,0,0,0,6,5,0,0,2,0,0,0,0,0,0,1,4,2,0,0,0,10,5,2,0,0,0,0,5,0,0,5,0,0,2,0,0,0,0,0,0,0,6,3,0,0,10,0,10,0,2,0,0,3,0,0,0,0
16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,2,3,0,0,0,0,2,2,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,1,2,0,0,0,0,0,0,0
17,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,20,0,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
18,0,0,2,0,0,3,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,3
19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,3,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,3,5,0,0,0,0,7,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,2,7,3,0,0,0,3,0,0,0,0,0,7,0,0,0,5,4,8,0,0,0,0,2,0,0,13,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0
21,0,0,0,5,0,0,0,6,0,0,2,0,0,9,5,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,30,0,0,4,0
22,0,0,0,0,15,0,0,8,0,0,0,0,0,0,2,0,15,0,0,0,0,1,0,3,0,15,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,3,0,0,15,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,3,5,0,0,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,10,1,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,6,3,0,0,5,0,0,10,0,0,2,0,0,0,0,0,0,0,0
25,0,0,3,0,3,0,0,0,2,3,0,0,0,0,0,0,5,0,0,0,0,3,0,8,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
26,0,0,3,0,5,0,0,0,0,0,3,0,0,0,1,4,5,0,0,0,0,5,0,2,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,0,3,0,0,5,0,0,2,0,0,0,2,0,0,0,0
27,9,5,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,3,0,0,0,2,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,2
28,7,0,0,2,1,0,0,0,0,0,2,0,0,0,2,6,3,0,3,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,4,0,3,0,0,3,0,2,0,0,0,1,0,1,2,5,0,0,1,10,0,0,0,2,2,0
29,0,0,2,1,0,3,0,0,5,0,2,0,0,0,0,0,10,0,0,0,0,0,0,2,0,3,0,5,2,0,0,0,0,0,0,2,0,0,3,0,2,0,0,3,0,2,1,0,20,2,0,1,2,3,0,0,1,0,5,1,0,0,0,0
30,0,0,3,0,0,0,0,2,3,0,5,5,0,0,0,0,3,0,0,2,0,4,0,2,0,0,0,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,0,2,0,1,0,0,0,2,0,0
31,0,0,4,2,0,0,0,10,3,0,0,0,0,2,2,2,2,0,0,0,0,3,2,2,0,0,0,2,0,2,0,0,0,0,2,2,0,2,0,0,1,0,0,2,0,3,2,0,0,0,8,0,3,0,0,2,0,0,0,0,0,0,0,0
32,2,0,0,2,1,0,0,0,7,0,2,0,0,0,2,0,2,0,2,1,0,3,2,0,0,0,0,1,0,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0
33,10,0,0,0,1,0,0,0,2,0,0,0,0,2,1,2,5,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,1,0,0,0,1,10,1,2,0,0,1,0,0,0,0,0,0,0,0
34,8,0,0,1,0,0,0,9,1,0,0,0,0,0,2,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
35,1,7,2,1,0,0,0,0,0,0,2,0,0,4,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,7,0,0,0,0,1,0
36,1,0,7,1,0,0,0,0,0,0,3,0,0,3,2,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
37,0,0,8,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,2,2,0,2,1,2,0,0,1,1,0,0,0,0,0,0,2,2,0,3,0,0,2,0,0,0,0,0,1,0,4,0,2,1,2,0,0,0,0,0,0,1,0,0,0,3
38,2,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,2,0,2,3,0,1,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0
39,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,1,0,3,0,2,4,2,0,0,4,2,0,2,0,0,0,3,0,0,0,7
40,14,4,0,0,2,0,0,0,0,0,3,0,0,0,1,2,2,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,2,2,0,2,2,0,2,0,0,3,1,0,0,0,0
41,0,0,0,1,1,2,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,20,0,1,0,3,0
42,0,0,0,1,1,0,0,0,0,0,3,0,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0
43,10,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,9,0,0,2,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,3,8,0,5,0,0,1,0,0,0,0,0,0,0,0
44,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,5,0,0,0,0,2,0,0,0,5,10,0,6,0,0,0,0,0,1,0,0,0,0,0
45,0,0,5,0,5,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,3,0,3,0,0,0,0,2,0,0,0,5,2,0,3,0,0,0,0,0,4,3,0,0,0,0
46,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,1,1,2,0,1,0,0,1,1
47,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,7,0,0,0,0,0
48,0,0,2,0,10,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2
49,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,2,1,0,0,0,0
50,1,0,6,0,15,0,0,0,0,0,2,0,0,0,2,3,3,0,0,1,0,5,2,2,0,0,1,0,0,0,0,0,0,3,2,2,0,0,0,0,5,0,0,2,0,2,0,0,1,4,3,0,3,0,0,0,0,0,0,2,0,0,0,1
